Output,Is it a mammal?,Is it a farm animal?,Does it eat meat?,Is it a water animal?,Does it have four legs?,Does it have wings?,Is it found in woods/forests?
0,Yes,Yes,Yes,No,Yes,No,No
1,Yes,Yes,Yes,No,No,No,No
2,Yes,Yes,No,No,Yes,No,No
3,Yes,No,Yes,Yes,No,No,No
4,Yes,No,Yes,No,Yes,No,Yes
5,Yes,No,Yes,No,Yes,No,No
6,Yes,No,No,No,Yes,No,Yes
7,Yes,No,No,No,Yes,No,No
8,Yes,No,No,No,No,No,Yes
9,No,Yes,Yes,No,No,Yes,No
10,No,No,Yes,Yes,Yes,No,No
11,No,No,Yes,Yes,Yes,No,Yes
12,No,No,Yes,Yes,No,No,No
13,No,No,Yes,Yes,No,Yes,No
14,No,No,Yes,No,No,Yes,Yes
15,No,No,Yes,No,No,No,Yes
